Sample Name,M Reads,M Reads Mapped,flowcell,Peaks,FRiP,Regulatory,TSS,Mitochondrial DNA,Fragment Length,Treatment Redundancy,% Dups,% Aligned,% Duplication,% > Q30,Mb Q30 bases,GC content,% PF,% Adapter
PT76_R2_IFN_beta_2h,14.50,14.40,BSF_0685_HFFJ3BBXY,88984.00,0.57,0.64,5.00,0.00,147.00,0.10,0.25,0.99,0.20,0.96,698.70,0.52,1.00,0.09
PT76_R2_IFN_beta_4h,13.80,13.70,BSF_0685_HFFJ3BBXY,89308.00,0.51,0.60,4.50,0.00,147.00,0.07,0.21,0.99,0.17,0.96,668.30,0.51,1.00,0.09
PT76_R2_IFN_beta_6h,13.90,13.80,BSF_0685_HFFJ3BBXY,87616.00,0.49,0.57,4.60,0.00,147.00,0.07,0.20,0.99,0.16,0.97,670.40,0.51,1.00,0.11
PT76_R2_IFN_beta_8h,14.30,14.20,BSF_0685_HFFJ3BBXY,94436.00,0.52,0.59,4.60,0.00,147.00,0.08,0.22,0.99,0.18,0.97,690.10,0.51,1.00,0.11
PT76_R2_IFN_gamma_2h,14.50,14.40,BSF_0685_HFFJ3BBXY,85370.00,0.60,0.67,5.20,0.00,147.00,0.12,0.28,0.99,0.22,0.96,700.40,0.52,1.00,0.09
PT76_R2_IFN_gamma_4h,13.50,13.40,BSF_0685_HFFJ3BBXY,86188.00,0.52,0.62,4.50,0.00,147.00,0.07,0.21,0.99,0.17,0.96,650.80,0.51,1.00,0.08
PT76_R2_IFN_gamma_6h,14.90,14.80,BSF_0685_HFFJ3BBXY,80267.00,0.45,0.54,4.60,0.00,147.00,0.06,0.20,0.99,0.16,0.96,715.30,0.50,1.00,0.13
PT76_R2_IFN_gamma_8h,14.70,14.60,BSF_0685_HFFJ3BBXY,79521.00,0.45,0.54,4.50,0.00,147.00,0.06,0.19,0.99,0.15,0.97,704.90,0.50,1.00,0.14
PT76_R2_LCMV_Cl13_2h,12.40,12.30,BSF_0685_HFFJ3BBXY,90921.00,0.57,0.64,4.80,0.00,147.00,0.08,0.23,0.99,0.18,0.96,596.30,0.52,1.00,0.09
PT76_R2_LCMV_Cl13_4h,15.20,15.10,BSF_0685_HFFJ3BBXY,89911.00,0.61,0.67,5.10,0.00,147.00,0.12,0.28,0.99,0.22,0.96,734.50,0.53,1.00,0.09
PT76_R2_LCMV_Cl13_6h,13.60,13.50,BSF_0685_HFFJ3BBXY,84622.00,0.54,0.62,4.80,0.00,147.00,0.08,0.22,0.99,0.17,0.97,653.70,0.52,1.00,0.11
PT76_R2_LCMV_Cl13_8h,13.10,13.00,BSF_0685_HFFJ3BBXY,92252.00,0.56,0.63,4.70,0.00,147.00,0.09,0.23,0.99,0.18,0.96,631.40,0.52,1.00,0.10
PT76_R2_LO28_2h,11.60,11.30,BSF_0685_HFFJ3BBXY,84909.00,0.56,0.64,4.30,0.00,147.00,0.22,0.22,0.98,0.18,0.96,561.10,0.51,1.00,0.08
PT76_R2_LO28_4h,13.20,12.90,BSF_0685_HFFJ3BBXY,95049.00,0.58,0.63,4.80,0.00,147.00,0.10,0.24,0.97,0.19,0.96,638.20,0.51,1.00,0.09
PT76_R2_LO28_6h,15.30,14.90,BSF_0685_HFFJ3BBXY,83374.00,0.39,0.48,3.90,0.00,147.00,0.05,0.18,0.97,0.14,0.97,736.70,0.49,1.00,0.13
PT76_R2_LO28_8h,13.50,13.10,BSF_0685_HFFJ3BBXY,95138.00,0.44,0.50,3.90,0.00,147.00,0.05,0.18,0.97,0.15,0.97,647.30,0.49,1.00,0.13
PT76_R2_LPS_2h,12.50,12.40,BSF_0685_HFFJ3BBXY,93488.00,0.58,0.64,4.60,0.00,147.00,0.09,0.24,0.99,0.19,0.96,604.50,0.52,1.00,0.09
PT76_R2_LPS_4h,13.90,13.80,BSF_0685_HFFJ3BBXY,88805.00,0.53,0.61,4.50,0.00,147.00,0.07,0.22,0.99,0.17,0.96,672.10,0.51,1.00,0.09
PT76_R2_LPS_6h,13.90,13.80,BSF_0685_HFFJ3BBXY,83681.00,0.46,0.54,4.50,0.00,147.00,0.06,0.19,0.99,0.15,0.97,666.30,0.50,1.00,0.13
PT76_R2_LPS_8h,15.20,15.10,BSF_0685_HFFJ3BBXY,100869.00,0.56,0.60,4.40,0.00,147.00,0.09,0.23,0.99,0.18,0.97,734.00,0.51,1.00,0.11
PT76_R2_untreated_0h,15.20,15.10,BSF_0685_HFFJ3BBXY,65064.00,0.33,0.43,3.90,0.00,147.00,0.06,0.18,0.99,0.15,0.97,732.10,0.50,1.00,0.12
PT82_R1_C_albicans_24h,25.30,25.10,BSF_0694_HFCMWBBXY,97991.00,0.57,0.61,4.40,0.00,147.00,0.15,0.31,0.99,0.25,0.97,1231.10,0.52,1.00,0.09
PT82_R1_C_albicans_8h,25.80,25.50,BSF_0694_HFCMWBBXY,85470.00,0.38,0.46,4.00,0.00,147.00,0.08,0.23,0.99,0.18,0.97,1248.50,0.49,1.00,0.12
PT82_R1_IFN_beta_24h,22.40,22.30,BSF_0694_HFCMWBBXY,89222.00,0.54,0.60,4.50,0.00,147.00,0.14,0.29,0.99,0.23,0.97,1086.80,0.52,1.00,0.10
PT82_R1_IFN_beta_8h,24.70,24.50,BSF_0694_HFCMWBBXY,103324.00,0.47,0.53,4.20,0.00,147.00,0.10,0.26,0.99,0.20,0.97,1193.90,0.50,1.00,0.14
PT82_R1_IFN_gamma_24h,23.90,23.70,BSF_0694_HFCMWBBXY,98825.00,0.59,0.63,4.50,0.00,147.00,0.15,0.31,0.99,0.24,0.97,1159.70,0.52,1.00,0.10
PT82_R1_IFN_gamma_8h,27.50,27.30,BSF_0694_HFCMWBBXY,96098.00,0.47,0.54,4.40,0.00,147.00,0.12,0.28,0.99,0.23,0.97,1335.00,0.50,1.00,0.11
PT82_R1_LCMV_Cl13_24h,26.00,25.70,BSF_0694_HFCMWBBXY,110989.00,0.61,0.63,4.40,0.00,,,0.33,0.99,0.26,0.97,1261.20,0.52,1.00,0.10
PT82_R1_LCMV_Cl13_8h,25.50,25.20,BSF_0694_HFCMWBBXY,99936.00,0.59,0.63,4.80,0.00,147.00,0.16,0.32,0.99,0.26,0.97,1237.60,0.52,1.00,0.10
PT82_R1_LO28_24h,34.30,28.60,BSF_0694_HFCMWBBXY,33208.00,0.06,0.20,1.70,0.01,147.00,0.01,0.11,0.83,0.21,0.98,1642.80,0.45,1.00,0.20
PT82_R1_LO28_8h,27.10,26.40,BSF_0694_HFCMWBBXY,104016.00,0.47,0.52,4.00,0.00,147.00,0.11,0.26,0.98,0.22,0.97,1315.90,0.50,1.00,0.10
PT82_R1_LPS_24h,25.10,25.00,BSF_0694_HFCMWBBXY,112860.00,0.63,0.62,4.20,0.00,,,0.33,0.99,0.26,0.97,1221.50,0.51,1.00,0.10
PT82_R1_LPS_8h,28.10,27.90,BSF_0694_HFCMWBBXY,102716.00,0.44,0.49,3.90,0.00,147.00,0.10,0.26,0.99,0.21,0.97,1363.10,0.50,1.00,0.12
PT82_R1_untreated_24h,22.70,22.50,BSF_0694_HFCMWBBXY,93416.00,0.51,0.57,4.30,0.00,147.00,0.11,0.26,0.99,0.20,0.97,1101.20,0.51,1.00,0.09
PT82_R1_untreated_8h,29.90,29.70,BSF_0694_HFCMWBBXY,86886.00,0.35,0.43,3.90,0.00,147.00,0.08,0.23,0.99,0.18,0.97,1446.50,0.49,1.00,0.14
PT82_R2_C_albicans_24h,27.80,27.60,BSF_0694_HFCMWBBXY,100896.00,0.50,0.56,4.50,0.00,147.00,0.12,0.28,0.99,0.22,0.97,1350.90,0.51,1.00,0.10
PT82_R2_C_albicans_8h,27.30,27.10,BSF_0694_HFCMWBBXY,93001.00,0.44,0.50,4.10,0.00,147.00,0.10,0.26,0.99,0.21,0.97,1326.80,0.50,1.00,0.11
PT82_R2_IFN_beta_24h,26.50,26.30,BSF_0694_HFCMWBBXY,95599.00,0.57,0.61,4.60,0.00,147.00,0.16,0.32,0.99,0.26,0.97,1284.90,0.52,1.00,0.09
PT82_R2_IFN_beta_8h,29.60,29.30,BSF_0694_HFCMWBBXY,103723.00,0.44,0.50,4.30,0.00,147.00,0.10,0.26,0.99,0.21,0.97,1429.00,0.50,1.00,0.13
PT82_R2_IFN_gamma_24h,28.50,28.20,BSF_0694_HFCMWBBXY,107379.00,0.62,0.65,4.30,0.00,,,0.35,0.99,0.28,0.97,1383.40,0.52,1.00,0.08
PT82_R2_IFN_gamma_8h,25.60,25.40,BSF_0694_HFCMWBBXY,84717.00,0.40,0.48,4.30,0.00,147.00,0.09,0.24,0.99,0.20,0.97,1235.80,0.50,1.00,0.14
PT82_R2_LCMV_Cl13_24h,26.60,26.20,BSF_0694_HFCMWBBXY,108593.00,0.63,0.65,5.10,0.00,,,0.34,0.98,0.28,0.97,1290.80,0.52,1.00,0.10
PT82_R2_LCMV_Cl13_8h,26.10,25.90,BSF_0694_HFCMWBBXY,99104.00,0.57,0.62,4.70,0.00,147.00,0.15,0.30,0.99,0.24,0.97,1269.60,0.52,1.00,0.10
PT82_R2_LO28_24h,26.70,22.90,BSF_0694_HFCMWBBXY,44859.00,0.11,0.24,2.20,0.01,147.00,0.02,0.12,0.86,0.21,0.98,1302.50,0.46,1.00,0.10
PT82_R2_LO28_8h,28.40,27.70,BSF_0694_HFCMWBBXY,109432.00,0.47,0.50,3.90,0.00,147.00,0.11,0.25,0.97,0.21,0.97,1376.90,0.49,1.00,0.12
PT82_R2_LPS_24h,25.90,25.70,BSF_0694_HFCMWBBXY,104995.00,0.55,0.56,4.20,0.00,147.00,0.14,0.29,0.99,0.23,0.97,1256.40,0.51,1.00,0.10
PT82_R2_LPS_8h,25.80,25.60,BSF_0694_HFCMWBBXY,104481.00,0.43,0.48,3.70,0.00,147.00,0.08,0.23,0.99,0.19,0.97,1246.90,0.49,1.00,0.12
PT82_R2_untreated_24h,25.20,25.00,BSF_0694_HFCMWBBXY,99263.00,0.53,0.58,4.30,0.00,147.00,0.12,0.28,0.99,0.22,0.97,1224.30,0.52,1.00,0.09
PT82_R2_untreated_8h,27.50,27.20,BSF_0694_HFCMWBBXY,91041.00,0.44,0.50,4.10,0.00,147.00,0.11,0.26,0.99,0.20,0.97,1336.20,0.50,1.00,0.10
