,library,timepoint after thawing,cell_line,Treatment,Treatment_time,mouse_pool,sex,bio-replicate,organism,experiment_id,M Reads,M Reads Mapped,flowcell,Peaks,FRiP,Regulatory,TSS,Mitochondrial DNA,Fragment Length,Treatment Redundancy,% Dups,% Aligned,% Duplication,% > Q30,Mb Q30 bases,GC content,% PF,% Adapter,pass_qc
PT76_R1_LO28_2h,ATAC-seq,d010,BMDM,LO28,2h,PT62_c,female,R1,mouse,PT76,12.9,12.6,BSF_0685_HFFJ3BBXY,79061.0,0.44,0.53,4.1,0.0,147.0,0.06,0.18,0.98,0.14,0.97,622.0,0.5,1.0,0.1,1
PT76_R1_LO28_4h,ATAC-seq,d010,BMDM,LO28,4h,PT62_c,female,R1,mouse,PT76,12.6,12.3,BSF_0685_HFFJ3BBXY,67294.0,0.36,0.47,4.0,0.0,147.0,0.15,0.17,0.98,0.13,0.97,608.0,0.49,1.0,0.1,1
PT76_R1_LO28_6h,ATAC-seq,d010,BMDM,LO28,6h,PT62_c,female,R1,mouse,PT76,14.5,14.2,BSF_0685_HFFJ3BBXY,76761.0,0.39,0.49,3.7,0.0,147.0,0.05,0.18,0.98,0.14,0.97,697.4,0.5,1.0,0.12,1
PT76_R1_LO28_8h,ATAC-seq,d010,BMDM,LO28,8h,PT62_c,female,R1,mouse,PT76,12.0,11.8,BSF_0685_HFFJ3BBXY,76553.0,0.42,0.5,4.1,0.0,147.0,0.17,0.18,0.98,0.14,0.97,580.7,0.5,1.0,0.11,1
PT76_R1_LPS_2h,ATAC-seq,d010,BMDM,LPS,2h,PT62_c,female,R1,mouse,PT76,14.6,14.5,BSF_0685_HFFJ3BBXY,76837.0,0.42,0.51,4.1,0.0,147.0,0.06,0.19,0.99,0.14,0.97,704.2,0.5,1.0,0.12,1
PT76_R1_LPS_4h,ATAC-seq,d010,BMDM,LPS,4h,PT62_c,female,R1,mouse,PT76,14.6,14.4,BSF_0685_HFFJ3BBXY,70673.0,0.36,0.47,4.1,0.0,147.0,0.05,0.18,0.99,0.14,0.97,702.6,0.49,1.0,0.1,1
PT76_R1_LPS_6h,ATAC-seq,d010,BMDM,LPS,6h,PT62_c,female,R1,mouse,PT76,13.5,13.3,BSF_0685_HFFJ3BBXY,76378.0,0.42,0.51,4.0,0.0,147.0,0.06,0.19,0.99,0.14,0.97,647.2,0.5,1.0,0.12,1
PT76_R1_LPS_8h,ATAC-seq,d010,BMDM,LPS,8h,PT62_c,female,R1,mouse,PT76,16.7,16.5,BSF_0685_HFFJ3BBXY,85747.0,0.47,0.53,4.2,0.0,147.0,0.09,0.23,0.99,0.17,0.97,805.5,0.5,1.0,0.1,1
PT76_R2_C_albicans_2h,ATAC-seq,d010,BMDM,C_albicans,2h,PT66_b,female,R2,mouse,PT76,14.1,14.0,BSF_0685_HFFJ3BBXY,84533.0,0.6,0.65,4.9,0.0,147.0,0.12,0.27,0.99,0.21,0.96,682.1,0.52,1.0,0.09,1
PT76_R2_C_albicans_4h,ATAC-seq,d010,BMDM,C_albicans,4h,PT66_b,female,R2,mouse,PT76,15.6,15.5,BSF_0685_HFFJ3BBXY,87380.0,0.58,0.64,4.9,0.0,147.0,0.12,0.27,0.99,0.22,0.96,756.1,0.52,1.0,0.08,1
PT76_R2_C_albicans_6h,ATAC-seq,d010,BMDM,C_albicans,6h,PT66_b,female,R2,mouse,PT76,13.5,13.4,BSF_0685_HFFJ3BBXY,83994.0,0.51,0.59,4.6,0.0,147.0,0.07,0.21,0.99,0.17,0.97,651.3,0.51,1.0,0.11,1
PT76_R2_C_albicans_8h,ATAC-seq,d010,BMDM,C_albicans,8h,PT66_b,female,R2,mouse,PT76,15.9,15.8,BSF_0685_HFFJ3BBXY,88280.0,0.5,0.57,4.4,0.0,147.0,0.08,0.22,0.99,0.17,0.97,767.7,0.51,1.0,0.12,1
PT76_R2_untreated_0h,ATAC-seq,d010,BMDM,untreated,0h,PT66_b,female,R2,mouse,PT76,15.2,15.1,BSF_0685_HFFJ3BBXY,65064.0,0.33,0.43,3.9,0.0,147.0,0.06,0.18,0.99,0.15,0.97,732.1,0.5,1.0,0.12,1
PT76_R2_IFN_beta_2h,ATAC-seq,d010,BMDM,IFN_beta,2h,PT66_b,female,R2,mouse,PT76,14.5,14.4,BSF_0685_HFFJ3BBXY,88984.0,0.57,0.64,5.0,0.0,147.0,0.1,0.25,0.99,0.2,0.96,698.7,0.52,1.0,0.09,1
PT76_R2_IFN_beta_4h,ATAC-seq,d010,BMDM,IFN_beta,4h,PT66_b,female,R2,mouse,PT76,13.8,13.7,BSF_0685_HFFJ3BBXY,89308.0,0.51,0.6,4.5,0.0,147.0,0.07,0.21,0.99,0.17,0.96,668.3,0.51,1.0,0.09,1
PT76_R2_IFN_beta_6h,ATAC-seq,d010,BMDM,IFN_beta,6h,PT66_b,female,R2,mouse,PT76,13.9,13.8,BSF_0685_HFFJ3BBXY,87616.0,0.49,0.57,4.6,0.0,147.0,0.07,0.2,0.99,0.16,0.97,670.4,0.51,1.0,0.11,1
PT76_R2_IFN_beta_8h,ATAC-seq,d010,BMDM,IFN_beta,8h,PT66_b,female,R2,mouse,PT76,14.3,14.2,BSF_0685_HFFJ3BBXY,94436.0,0.52,0.59,4.6,0.0,147.0,0.08,0.22,0.99,0.18,0.97,690.1,0.51,1.0,0.11,1
PT76_R2_IFN_gamma_2h,ATAC-seq,d010,BMDM,IFN_gamma,2h,PT66_b,female,R2,mouse,PT76,14.5,14.4,BSF_0685_HFFJ3BBXY,85370.0,0.6,0.67,5.2,0.0,147.0,0.12,0.28,0.99,0.22,0.96,700.4,0.52,1.0,0.09,1
PT76_R2_IFN_gamma_4h,ATAC-seq,d010,BMDM,IFN_gamma,4h,PT66_b,female,R2,mouse,PT76,13.5,13.4,BSF_0685_HFFJ3BBXY,86188.0,0.52,0.62,4.5,0.0,147.0,0.07,0.21,0.99,0.17,0.96,650.8,0.51,1.0,0.08,1
PT76_R2_IFN_gamma_6h,ATAC-seq,d010,BMDM,IFN_gamma,6h,PT66_b,female,R2,mouse,PT76,14.9,14.8,BSF_0685_HFFJ3BBXY,80267.0,0.45,0.54,4.6,0.0,147.0,0.06,0.2,0.99,0.16,0.96,715.3,0.5,1.0,0.13,1
PT76_R2_IFN_gamma_8h,ATAC-seq,d010,BMDM,IFN_gamma,8h,PT66_b,female,R2,mouse,PT76,14.7,14.6,BSF_0685_HFFJ3BBXY,79521.0,0.45,0.54,4.5,0.0,147.0,0.06,0.19,0.99,0.15,0.97,704.9,0.5,1.0,0.14,1
PT76_R2_LCMV_Cl13_2h,ATAC-seq,d010,BMDM,LCMV_Cl13,2h,PT66_b,female,R2,mouse,PT76,12.4,12.3,BSF_0685_HFFJ3BBXY,90921.0,0.57,0.64,4.8,0.0,147.0,0.08,0.23,0.99,0.18,0.96,596.3,0.52,1.0,0.09,1
PT76_R2_LCMV_Cl13_4h,ATAC-seq,d010,BMDM,LCMV_Cl13,4h,PT66_b,female,R2,mouse,PT76,15.2,15.1,BSF_0685_HFFJ3BBXY,89911.0,0.61,0.67,5.1,0.0,147.0,0.12,0.28,0.99,0.22,0.96,734.5,0.53,1.0,0.09,1
PT76_R2_LCMV_Cl13_6h,ATAC-seq,d010,BMDM,LCMV_Cl13,6h,PT66_b,female,R2,mouse,PT76,13.6,13.5,BSF_0685_HFFJ3BBXY,84622.0,0.54,0.62,4.8,0.0,147.0,0.08,0.22,0.99,0.17,0.97,653.7,0.52,1.0,0.11,1
PT76_R2_LCMV_Cl13_8h,ATAC-seq,d010,BMDM,LCMV_Cl13,8h,PT66_b,female,R2,mouse,PT76,13.1,13.0,BSF_0685_HFFJ3BBXY,92252.0,0.56,0.63,4.7,0.0,147.0,0.09,0.23,0.99,0.18,0.96,631.4,0.52,1.0,0.1,1
PT76_R2_LO28_2h,ATAC-seq,d010,BMDM,LO28,2h,PT66_b,female,R2,mouse,PT76,11.6,11.3,BSF_0685_HFFJ3BBXY,84909.0,0.56,0.64,4.3,0.0,147.0,0.22,0.22,0.98,0.18,0.96,561.1,0.51,1.0,0.08,1
PT76_R2_LO28_4h,ATAC-seq,d010,BMDM,LO28,4h,PT66_b,female,R2,mouse,PT76,13.2,12.9,BSF_0685_HFFJ3BBXY,95049.0,0.58,0.63,4.8,0.0,147.0,0.1,0.24,0.97,0.19,0.96,638.2,0.51,1.0,0.09,1
PT76_R2_LO28_6h,ATAC-seq,d010,BMDM,LO28,6h,PT66_b,female,R2,mouse,PT76,15.3,14.9,BSF_0685_HFFJ3BBXY,83374.0,0.39,0.48,3.9,0.0,147.0,0.05,0.18,0.97,0.14,0.97,736.7,0.49,1.0,0.13,1
PT76_R2_LO28_8h,ATAC-seq,d010,BMDM,LO28,8h,PT66_b,female,R2,mouse,PT76,13.5,13.1,BSF_0685_HFFJ3BBXY,95138.0,0.44,0.5,3.9,0.0,147.0,0.05,0.18,0.97,0.15,0.97,647.3,0.49,1.0,0.13,1
PT76_R2_LPS_2h,ATAC-seq,d010,BMDM,LPS,2h,PT66_b,female,R2,mouse,PT76,12.5,12.4,BSF_0685_HFFJ3BBXY,93488.0,0.58,0.64,4.6,0.0,147.0,0.09,0.24,0.99,0.19,0.96,604.5,0.52,1.0,0.09,1
PT76_R2_LPS_4h,ATAC-seq,d010,BMDM,LPS,4h,PT66_b,female,R2,mouse,PT76,13.9,13.8,BSF_0685_HFFJ3BBXY,88805.0,0.53,0.61,4.5,0.0,147.0,0.07,0.22,0.99,0.17,0.96,672.1,0.51,1.0,0.09,1
PT76_R2_LPS_6h,ATAC-seq,d010,BMDM,LPS,6h,PT66_b,female,R2,mouse,PT76,13.9,13.8,BSF_0685_HFFJ3BBXY,83681.0,0.46,0.54,4.5,0.0,147.0,0.06,0.19,0.99,0.15,0.97,666.3,0.5,1.0,0.13,1
PT76_R2_LPS_8h,ATAC-seq,d010,BMDM,LPS,8h,PT66_b,female,R2,mouse,PT76,15.2,15.1,BSF_0685_HFFJ3BBXY,100869.0,0.56,0.6,4.4,0.0,147.0,0.09,0.23,0.99,0.18,0.97,734.0,0.51,1.0,0.11,1
PT82_R1_C_albicans_24h,ATAC-seq,d011,BMDM,C_albicans,24h,PT62_c,female,R1,mouse,PT82,25.3,25.1,BSF_0694_HFCMWBBXY,97991.0,0.57,0.61,4.4,0.0,147.0,0.15,0.31,0.99,0.25,0.97,1231.1,0.52,1.0,0.09,1
PT82_R1_C_albicans_8h,ATAC-seq,d010,BMDM,C_albicans,8h,PT62_c,female,R1,mouse,PT82,25.8,25.5,BSF_0694_HFCMWBBXY,85470.0,0.38,0.46,4.0,0.0,147.0,0.08,0.23,0.99,0.18,0.97,1248.5,0.49,1.0,0.12,1
PT82_R1_IFN_beta_24h,ATAC-seq,d011,BMDM,IFN_beta,24h,PT62_c,female,R1,mouse,PT82,22.4,22.3,BSF_0694_HFCMWBBXY,89222.0,0.54,0.6,4.5,0.0,147.0,0.14,0.29,0.99,0.23,0.97,1086.8,0.52,1.0,0.1,1
PT82_R1_IFN_beta_8h,ATAC-seq,d010,BMDM,IFN_beta,8h,PT62_c,female,R1,mouse,PT82,24.7,24.5,BSF_0694_HFCMWBBXY,103324.0,0.47,0.53,4.2,0.0,147.0,0.1,0.26,0.99,0.2,0.97,1193.9,0.5,1.0,0.14,1
PT82_R1_IFN_gamma_24h,ATAC-seq,d011,BMDM,IFN_gamma,24h,PT62_c,female,R1,mouse,PT82,23.9,23.7,BSF_0694_HFCMWBBXY,98825.0,0.59,0.63,4.5,0.0,147.0,0.15,0.31,0.99,0.24,0.97,1159.7,0.52,1.0,0.1,1
PT82_R1_IFN_gamma_8h,ATAC-seq,d010,BMDM,IFN_gamma,8h,PT62_c,female,R1,mouse,PT82,27.5,27.3,BSF_0694_HFCMWBBXY,96098.0,0.47,0.54,4.4,0.0,147.0,0.12,0.28,0.99,0.23,0.97,1335.0,0.5,1.0,0.11,1
